Name,Timing,Result
smack_ptr_eq_test,4.44428,passed
smack_add_size_saturating_test,5.47448,passed
smack_array_eq_c_str_test,6.43832,passed
smack_array_eq_c_str_ignore_case_test,7.09141,passed
smack_add_size_checked_test,8.06627,passed
smack_mul_size_checked_test,8.80271,passed
smack_mul_size_saturating_test,6.15913,passed
smack_is_power_of_two_test,7.21547,failed
smack_round_up_to_power_of_two_test,7.41379,failed
smack_array_eq_test,16.6894,passed
smack_array_list_back_test,12.3264,passed
smack_array_list_capacity_test,11.6029,passed
smack_array_list_clean_up_test,10.8746,passed
smack_array_list_clear_test,10.5572,passed
smack_array_list_copy_test,11.8831,passed
smack_array_list_ensure_capacity_test,11.9954,passed
smack_array_list_front_test,11.8242,passed
smack_array_list_comparator_string_test,19.7259,passed
smack_array_list_erase_test,13.4642,passed
smack_array_list_get_at_test,13.5851,passed
smack_array_list_get_at_ptr_test,13.0916,passed
smack_array_list_init_dynamic_test,11.1808,passed
smack_array_list_init_static_test,12.1727,passed
smack_array_list_length_test,11.5554,passed
smack_array_list_pop_front_n_test,13.1102,passed
smack_array_list_push_back_test,13.7418,passed
smack_array_list_pop_front_test,15.8795,passed
smack_array_list_pop_back_test,17.0508,passed
smack_array_list_shrink_to_fit_test,11.6505,passed
smack_array_list_sort_test,10.8724,passed
smack_array_list_set_at_test,18.7147,passed
smack_array_list_swap_test,12.1,passed
smack_array_list_swap_contents_test,13.9571,passed
smack_byte_buf_clean_up_test,10.2334,passed
smack_byte_buf_clean_up_secure_test,10.2034,passed
smack_byte_buf_append_test,24.3698,passed
smack_byte_buf_eq_c_str_test,8.05915,passed
smack_byte_buf_append_with_lookup_test,26.9002,passed
smack_byte_buf_eq_c_str_ignore_case_test,8.27622,passed
smack_byte_buf_append_dynamic_test,35.5645,passed
smack_byte_buf_from_array_test,11.1879,passed
smack_byte_buf_from_c_str_test,13.8531,passed
smack_byte_buf_from_empty_array_test,11.9954,passed
smack_byte_buf_init_test,12.2375,passed
smack_byte_buf_reserve_test,9.56929,passed
smack_byte_buf_advance_test,69.9862,passed
smack_byte_buf_init_copy_from_cursor_test,22.2329,passed
smack_byte_buf_reserve_relative_test,16.2176,passed
smack_byte_buf_init_copy_test,34.8694,passed
smack_byte_buf_reset_test,15.2499,passed
smack_byte_buf_secure_zero_test,13.0054,passed
smack_byte_buf_write_be16_test,18.5175,passed
smack_byte_buf_write_be32_test,17.4482,passed
smack_byte_buf_write_test,25.5662,passed
smack_byte_buf_write_be64_test,22.4895,passed
smack_byte_buf_eq_test,105.377,passed
smack_byte_buf_write_u8_test,19.6788,passed
smack_byte_cursor_advance_test,21.0078,passed
smack_array_eq_ignore_case_test,200.023,failed
smack_byte_cursor_compare_lexical_test,33.5363,passed
smack_byte_buf_write_from_whole_string_test,56.6858,passed
smack_byte_cursor_compare_lookup_test,26.2651,passed
smack_byte_cursor_eq_c_str_test,7.90012,passed
smack_byte_cursor_eq_test,34.2232,passed
smack_byte_cursor_eq_c_str_ignore_case_test,8.36866,passed
smack_byte_cursor_from_array_test,11.7434,passed
smack_byte_buf_cat_test,200.022,failed
smack_byte_buf_write_from_whole_cursor_test,111.485,passed
smack_byte_cursor_from_c_str_test,12.9186,passed
smack_byte_cursor_eq_byte_buf_test,57.8258,passed
smack_byte_cursor_left_trim_pred_test,12.0967,passed
smack_byte_buf_eq_ignore_case_test,200.025,failed
smack_byte_cursor_satisfies_pred_test,11.8275,passed
smack_byte_cursor_right_trim_pred_test,12.1989,passed
smack_byte_cursor_from_buf_test,32.3344,passed
smack_hash_array_ignore_case_test,6.48574,passed
smack_byte_buf_write_from_whole_buffer_test,139.103,passed
smack_hash_ptr_test,8.78063,passed
smack_hash_string_test,8.99937,passed
smack_byte_cursor_trim_pred_test,19.8819,passed
smack_hash_callback_c_str_eq_test,7.04312,passed
smack_hash_byte_cursor_ptr_ignore_case_test,11.0439,passed
smack_hash_c_string_test,10.003,passed
smack_hash_byte_cursor_ptr_test,19.1391,passed
smack_hash_callback_string_destroy_test,6.01216,passed
smack_hash_callback_string_eq_test,13.2067,passed
smack_hash_iter_begin_done_test,19.0268,passed
smack_hash_table_get_entry_count_test,6.80937,passed
smack_hash_table_move_test,7.18115,passed
smack_hash_table_swap_test,7.58057,passed
smack_hash_table_clean_up_test,19.9674,passed
smack_hash_iter_delete_test,91.3058,passed
smack_hash_table_clear_test,41.8211,passed
smack_byte_cursor_eq_byte_buf_ignore_case_test,200.028,failed
smack_hash_iter_begin_test,121.731,passed
smack_hash_table_foreach_test,32.9606,passed
smack_byte_cursor_eq_ignore_case_test,200.026,failed
smack_hash_table_find_test,78.8628,passed
smack_hash_iter_next_test,200.038,failed
smack_hash_iter_done_test,200.035,failed
smack_hash_table_eq_test,200.029,failed
smack_hash_table_remove_test,98.0976,failed
smack_hash_table_create_test,200.02,failed
smack_linked_list_init_test,7.60684,passed
smack_linked_list_remove_test,7.61812,passed
smack_hash_table_init_bounded_test,200.06,failed
smack_hash_table_init_unbounded_test,200.047,failed
smack_hash_table_put_test,200.029,failed
smack_linked_list_prev_test,9.13506,passed
smack_linked_list_next_test,8.93707,passed
smack_linked_list_node_reset_test,7.23196,passed
smack_linked_list_pop_front_test,60.4096,passed
smack_linked_list_pop_back_test,83.6447,passed
smack_linked_list_back_test,200.019,failed
smack_linked_list_insert_after_test,7.70505,passed
smack_linked_list_begin_test,200.031,failed
smack_linked_list_end_test,200.025,failed
smack_linked_list_insert_before_test,7.15392,passed
smack_string_bytes_test,5.16363,passed
smack_string_compare_test,16.2826,passed
smack_string_eq_test,16.5885,passed
smack_string_eq_byte_buf_test,17.5823,passed
smack_string_eq_byte_cursor_test,14.1167,passed
smack_linked_list_front_test,200.05,failed
smack_string_eq_c_str_test,6.18968,passed
smack_string_eq_c_str_ignore_case_test,6.44981,passed
smack_linked_list_push_back_test,200.059,failed
smack_linked_list_push_front_test,200.029,failed
smack_string_new_from_array_test,11.5985,passed
smack_string_new_from_c_str_test,6.18374,passed
smack_string_new_from_string_test,5.6875,passed
smack_string_destroy_test,4.79947,passed
smack_string_destroy_secure_test,8.99991,passed
smack_priority_queue_size_test,13.7103,passed
smack_linked_list_swap_contents_test,200.024,failed
smack_priority_queue_capacity_test,14.215,passed
smack_priority_queue_top_test,14.9964,passed
smack_priority_queue_init_static_test,15.5116,passed
smack_linked_list_rbegin_test,200.02,failed
smack_linked_list_rend_test,200.024,failed
smack_priority_queue_clean_up_test,12.7233,passed
smack_priority_queue_init_dynamic_test,18.8782,passed
smack_ring_buffer_clean_up_test,11.474,passed
smack_ring_buffer_init_test,12.9642,passed
smack_priority_queue_s_swap_test,17.7769,passed
smack_priority_queue_s_sift_down_test,16.9547,passed
smack_priority_queue_s_sift_either_test,16.5857,passed
smack_string_eq_byte_buf_ignore_case_test,200.014,failed
smack_priority_queue_s_sift_up_test,21.5273,passed
smack_priority_queue_remove_test,17.7733,passed
smack_priority_queue_push_test,14.7463,passed
smack_priority_queue_pop_test,18.2651,passed
smack_priority_queue_push_ref_test,17.8826,passed
smack_string_eq_byte_cursor_ignore_case_test,200.031,failed
smack_hash_table_foreach_deep_loose_test,32.6125,passed
smack_hash_table_foreach_deep_precise_test,28.7668,passed
smack_string_eq_ignore_case_test,200.035,failed
smack_priority_queue_s_remove_node_test,200.086,failed
smack_ring_buffer_release_test,200.013,failed
smack_ring_buffer_acquire_test,200.025,failed
smack_ring_buffer_buf_belongs_to_pool_test,200.007,failed
smack_ring_buffer_acquire_up_to_test,200.009,failed
